number,id,state,assignee,user,tags,time,activity
94,65,closed,,28267141,,2019-03-17 11:23:19,close_issue
95,64,closed,,28267141,,2019-03-11 15:27:47,open_issue
95,64,closed,,28267141,,2019-03-17 11:45:54,change_issue
95,64,closed,,28267141,,2019-03-17 11:23:20,close_issue
96,63,closed,,21242774,,2019-03-06 12:47:34,open_issue
96,63,closed,,21242774,,2019-03-07 11:09:33,change_issue
96,63,closed,,21242774,,2019-03-07 11:09:33,close_issue
97,62,closed,6236151,41383598,enhancement,2019-02-25 09:16:21,open_issue
97,62,closed,6236151,41383598,enhancement,2019-02-26 08:38:18,change_issue
97,62,closed,6236151,41383598,enhancement,2019-02-26 08:38:18,close_issue
97,62,closed,41383598,41383598,enhancement,2019-02-25 09:16:21,open_issue
97,62,closed,41383598,41383598,enhancement,2019-02-26 08:38:18,change_issue
97,62,closed,41383598,41383598,enhancement,2019-02-26 08:38:18,close_issue
98,61,closed,,3202998,,2019-02-19 19:58:20,open_issue
98,61,closed,,3202998,,2019-02-28 09:26:16,change_issue
98,61,closed,,3202998,,2019-02-26 08:40:56,close_issue
99,60,closed,,32484516,,2019-02-15 10:24:50,open_issue
99,60,closed,,32484516,,2019-02-18 09:44:14,change_issue
99,60,closed,,32484516,,2019-02-15 14:56:16,close_issue
100,59,closed,,29715624,bug,2019-02-14 16:48:51,open_issue
100,59,closed,,29715624,bug,2019-02-15 14:56:39,change_issue
100,59,closed,,29715624,bug,2019-02-15 14:56:39,close_issue
101,58,closed,,29715624,bug,2019-02-14 14:13:41,open_issue
101,58,closed,,29715624,bug,2019-02-15 14:56:47,change_issue
101,58,closed,,29715624,bug,2019-02-15 14:56:47,close_issue
102,57,closed,,29715624,bug,2019-02-14 13:35:29,open_issue
102,57,closed,,29715624,bug,2019-02-15 14:56:30,change_issue
102,57,closed,,29715624,bug,2019-02-15 14:56:30,close_issue
103,56,closed,,3202998,,2019-02-14 09:06:07,open_issue
103,56,closed,,3202998,,2019-10-27 15:01:31,change_issue
103,56,closed,,3202998,,2019-10-27 15:01:31,close_issue
104,55,closed,,41383598,bug,2019-02-05 15:07:21,open_issue
104,55,closed,,41383598,bug,2019-02-08 13:02:48,change_issue
104,55,closed,,41383598,bug,2019-02-08 13:02:48,close_issue
105,54,closed,,3202998,,2019-02-04 18:53:25,open_issue
105,54,closed,,3202998,,2019-02-22 12:59:04,change_issue
105,54,closed,,3202998,,2019-02-22 12:59:04,close_issue
106,53,closed,6236151,17254262,enhancement,2019-02-04 17:34:02,open_issue
106,53,closed,6236151,17254262,enhancement,2019-02-15 14:57:22,change_issue
106,53,closed,6236151,17254262,enhancement,2019-02-15 14:57:22,close_issue
106,53,closed,41383598,17254262,enhancement,2019-02-04 17:34:02,open_issue
106,53,closed,41383598,17254262,enhancement,2019-02-15 14:57:22,change_issue
106,53,closed,41383598,17254262,enhancement,2019-02-15 14:57:22,close_issue
107,52,closed,,3202998,,2019-02-02 23:59:05,open_issue
107,52,closed,,3202998,,2019-12-20 10:03:17,change_issue
107,52,closed,,3202998,,2019-02-04 06:25:40,close_issue
108,51,closed,,3202998,,2019-02-02 22:40:24,open_issue
108,51,closed,,3202998,,2019-12-20 10:02:07,change_issue
108,51,closed,,3202998,,2019-02-04 06:25:52,close_issue
109,50,closed,,3202998,,2019-02-02 21:16:29,open_issue
109,50,closed,,3202998,,2019-02-04 06:26:50,change_issue
109,50,closed,,3202998,,2019-02-04 06:26:50,close_issue
110,49,closed,,3202998,,2019-02-02 20:30:04,open_issue
110,49,closed,,3202998,,2019-02-04 06:27:14,change_issue
110,49,closed,,3202998,,2019-02-04 06:27:14,close_issue
